						B-Baseline
			Spectral	Data	File	
		1.0				
						
						
						
						
		4096.0				
		1.0				
						
						
						
		0.01				
		-0.4				
						
		40.0				
		30.0				
		39.769542				
		50.0				
		610000.0				
		100.0				
		0.0				
		0.0				
		45.0				
		0.0				
		0.0				
		0.0				
		4.0				
	71.36					
			Data	Starts	Here	
-0.4	0.0					-67.179455421264
-0.39	0.0					-67.22526350960194
-0.38	0.0					-67.27107159793991
-0.37	0.0					-67.31687968627786
-0.36	0.0					-67.36268777461581
-0.35	0.0					-67.40849586295377
-0.34	0.0					-67.45430395129172
-0.33	0.0					-67.50011203962967
-0.32	0.0					-67.54592012796763
-0.31	0.0					-67.59172821630558
-0.3	0.0					-67.63753630464353
-0.29	0.0					-67.68334439298148
-0.28	0.0					-67.72915248131945
-0.27	0.0					-67.7749605696574
-0.26	0.0					-67.82076865799534
-0.25	0.0					-67.86657674633331
-0.24	0.0					-67.91238483467126
-0.23	0.0					-67.95819292300921
-0.22	0.0					-68.00400101134716
-0.21	0.0					-68.04980909968512
-0.2	0.0					-68.09561718802307
-0.19	0.0					-68.14142527636102
-0.18	0.0					-68.18723336469898
-0.17	0.0					-68.23304145303693
-0.16	0.0					-68.27884954137488
-0.15	0.0					-68.32465762971285
-0.14	0.0					-68.3704657180508
-0.13	0.0					-68.41627380638874
-0.12	0.0					-68.4620818947267
-0.11	0.0					-68.50788998306466
-0.1	0.0					-68.55369807140261
-0.09	0.0					-68.59950615974056
-0.08	0.0					-68.64531424807852
-0.07	0.0					-68.69112233641647
-0.06	0.0					-68.73693042475442
-0.05	0.0					-68.78273851309238
-0.04	0.0					-68.82854660143033
-0.03	0.0					-68.87435468976828
-0.02	0.0					-68.92016277810623
-0.01	0.0					-68.9659708664442
0.0	0.0					-69.01177895478214
0.01	0.0					-69.0575870431201
0.02	0.0					-69.10339513145806
0.03	0.0					-69.14920321979601
0.04	0.0					-69.19501130813396
0.05	0.0					-69.2408193964719
0.06	0.0					-69.28662748480987
0.07	0.0					-69.33243557314782
0.08	0.0					-69.37824366148577
0.09	0.0					-69.42405174982373
0.1	0.0					-69.46985983816168
0.11	0.0					-69.51566792649963
0.12	0.0					-69.5614760148376
0.13	0.0					-69.60728410317554
0.14	0.0					-69.6530921915135
0.15	0.0					-69.69890027985144
0.16	0.0					-69.74470836818941
0.17	0.0					-69.79051645652736
0.18	0.0					-69.8363245448653
0.19	0.0					-69.88213263320327
0.2	0.0					-69.92794072154122
0.21	0.0					-69.97374880987917
0.22	0.0					-70.01955689821713
0.23	0.0					-70.06536498655508
0.24	0.0					-70.11117307489303
0.25	0.0					-70.15698116323098
0.26	0.0					-70.20278925156894
0.27	0.0					-70.2485973399069
0.28	0.0					-70.29440542824484
0.29	0.0					-70.3402135165828
0.3	1.0					-69.38602160492076
0.31	1.0					-69.4318296932587
0.32	2.0					-68.47763778159666
0.33	0.0					-70.52344586993462
0.34	3.0					-67.56925395827257
0.35	1.0					-69.61506204661052
0.36	7.0					-63.66087013494848
0.37	10.0					-60.70667822328643
0.38	18.0					-52.75248631162438
0.39	13.0					-57.798294399962344
0.4	24.0					-46.844102488300294
0.41	29.0					-41.88991057663824
0.42	34.0					-36.93571866497619
0.43	33.0					-37.98152675331416
0.44	37.0					-34.027334841652106
0.45	33.0					-38.073142929990055
0.46	56.0					-15.11895101832802
0.47	52.0					-19.16475910666597
0.48	43.0					-28.210567195003918
0.49	39.0					-32.25637528334188
0.5	46.0					-25.30218337167983
0.51	44.0					-27.34799146001778
0.52	45.0					-26.39379954835573
0.53	52.0					-19.439607636693694
0.54	45.0					-26.485415725031643
0.55	37.0					-34.53122381336959
0.56	50.0					-21.577031901707556
0.57	36.0					-35.622839990045506
0.58	49.0					-22.668648078383455
0.59	48.0					-23.71445616672142
0.6	51.0					-20.76026425505937
0.61	47.0					-24.806072343397318
0.62	43.0					-28.851880431735268
0.63	40.0					-31.89768852007323
0.64	51.0					-20.94349660841118
0.65	42.0					-29.98930469674913
0.66	45.0					-27.035112785087094
0.67	31.0					-41.08092087342504
0.68	47.0					-25.126728961762993
0.69	37.0					-35.17253705010094
0.7	52.0					-20.218345138438906
0.71	49.0					-23.264153226776855
0.72	29.0					-43.309961315114805
0.73	41.0					-31.35576940345277
0.74	58.0					-14.401577491790718
0.75	40.0					-32.44738558012867
0.76	46.0					-26.49319366846663
0.77	47.0					-25.53900175680458
0.78	42.0					-30.58480984514253
0.79	35.0					-37.63061793348048
0.8	37.0					-35.67642602181844
0.81	54.0					-18.722234110156393
0.82	50.0					-22.768042198494342
0.83	43.0					-29.813850286832306
0.84	38.0					-34.859658375170255
0.85	46.0					-26.905466463508205
0.86	54.0					-18.95127455184617
0.87	59.0					-13.997082640184118
0.88	43.0					-30.042890728522067
0.89	39.0					-34.08869881686002
0.9	34.0					-39.13450690519798
0.91	47.0					-26.18031499353593
0.92	47.0					-26.22612308187388
0.93	47.0					-26.271931170211843
0.94	43.0					-30.317739258549793
0.95	48.0					-25.363547346887742
